teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Bangladesh,1,Tamim Iqbal,c †McCullum b McKay,1,6,7,0,0,16.66,2951
Bangladesh,2,Imrul Kayes,run out (Guptill/Franklin),9,13,20,1,0,69.23,2951
Bangladesh,3,Mohammad Ashraful,c & b Tuffey,1,18,29,0,0,5.55,2951
Bangladesh,4,Aftab Ahmed,c †McCullum b Butler,10,27,36,2,0,37.03,2951
Bangladesh,5,Shakib Al Hasan (c),b McKay,0,8,13,0,0,0.00,2951
Bangladesh,6,Mushfiqur Rahim †,lbw b Butler,86,107,148,8,3,80.37,2951
Bangladesh,7,Mahmudullah,run out (Guptill),8,32,42,1,0,25.00,2951
Bangladesh,8,Naeem Islam,b Butler,43,81,91,4,0,53.08,2951
Bangladesh,9,Shahadat Hossain,not out,16,7,12,2,1,228.57,2951
Bangladesh,10,Shafiul Islam,not out,1,1,4,0,0,100.00,2951
New Zealand,1,Brendon McCullum †,b Shafiul Islam,9,6,5,1,0,150.00,2951
New Zealand,2,Peter Ingram,c †Mushfiqur Rahim b Rubel Hossain,28,49,81,4,0,57.14,2951
New Zealand,3,Martin Guptill,b Rubel Hossain,32,29,33,4,1,110.34,2951
New Zealand,4,Ross Taylor,c Mahmudullah b Shafiul Islam,78,52,85,6,5,150.00,2951
New Zealand,5,James Franklin,not out,20,29,49,1,0,68.96,2951
New Zealand,6,Neil Broom,lbw b Shafiul Islam,0,1,1,0,0,0.00,2951
New Zealand,7,Daniel Vettori (c),not out,4,1,3,1,0,400.00,2951
West Indies,1,Chris Gayle (c),lbw b Bollinger,0,1,1,0,0,0.00,2952
West Indies,2,Runako Morton,lbw b Bollinger,4,11,24,0,0,36.36,2952
West Indies,3,Travis Dowlin,c †Haddin b McKay,2,16,18,0,0,12.50,2952
West Indies,4,Lendl Simmons,c †Haddin b Bollinger,1,4,11,0,0,25.00,2952
West Indies,5,Narsingh Deonarine,lbw b Johnson,23,36,57,5,0,63.88,2952
West Indies,6,Denesh Ramdin †,c †Haddin b Watson,30,42,63,4,0,71.42,2952
West Indies,7,Kieron Pollard,c Johnson b Bollinger,32,39,48,3,0,82.05,2952
West Indies,8,Dwayne Smith,c Hussey b McKay,43,63,86,2,1,68.25,2952
West Indies,9,Nikita Miller,c Marsh b Hauritz,6,7,11,1,0,85.71,2952
West Indies,10,Ravi Rampaul,run out (Ponting),18,22,35,3,0,81.81,2952
West Indies,11,Kemar Roach,not out,0,0,1,0,0,-,2952
Australia,1,Shane Watson,c †Ramdin b Roach,53,50,65,7,2,106.00,2952
Australia,2,Shaun Marsh,b Smith,27,27,37,3,1,100.00,2952
Australia,3,Ricky Ponting (c),not out,57,55,70,8,2,103.63,2952
Australia,4,Michael Clarke,not out,27,28,41,3,0,96.42,2952
Bangladesh,1,Tamim Iqbal,b Southee,8,6,3,2,0,133.33,2953
Bangladesh,2,Imrul Kayes,b Vettori,101,138,200,11,0,73.18,2953
Bangladesh,3,Aftab Ahmed,c Southee b McKay,18,13,22,4,0,138.46,2953
Bangladesh,4,Mohammad Ashraful,c †McCullum b Oram,31,55,65,4,0,56.36,2953
Bangladesh,5,Shakib Al Hasan (c),c Taylor b Southee,36,48,68,3,0,75.00,2953
Bangladesh,6,Mushfiqur Rahim †,lbw b Vettori,4,14,20,0,0,28.57,2953
Bangladesh,7,Mahmudullah,b Vettori,6,6,9,0,0,100.00,2953
Bangladesh,8,Naeem Islam,c Ingram b Southee,10,7,12,1,0,142.85,2953
Bangladesh,9,Shahadat Hossain,run out (Ingram/†McCullum),4,9,13,0,0,44.44,2953
Bangladesh,10,Shafiul Islam,not out,2,6,8,0,0,33.33,2953
New Zealand,1,Brendon McCullum †,b Rubel Hossain,19,18,23,1,2,105.55,2953
New Zealand,2,Peter Ingram,b Shakib Al Hasan,25,30,45,4,0,83.33,2953
New Zealand,3,Martin Guptill,c Tamim Iqbal b Shakib Al Hasan,91,91,109,9,3,100.00,2953
New Zealand,4,Ross Taylor,st †Mushfiqur Rahim b Shakib Al Hasan,3,10,15,0,0,30.00,2953
New Zealand,5,Daniel Vettori (c),c Aftab Ahmed b Mahmudullah,34,36,42,3,1,94.44,2953
New Zealand,6,Neil Broom,b Shakib Al Hasan,18,30,36,1,0,60.00,2953
New Zealand,7,Jacob Oram,c Shakib Al Hasan b Naeem Islam,12,11,13,0,1,109.09,2953
New Zealand,8,James Franklin,not out,19,24,39,3,0,79.16,2953
New Zealand,9,Ian Butler,not out,13,21,33,2,0,61.90,2953
Australia,1,Shane Watson,c Hinds b Smith,26,22,24,3,1,118.18,2955
Australia,2,Tim Paine †,c Pollard b Sammy,24,36,60,2,0,66.66,2955
Australia,3,Ricky Ponting (c),c Rampaul b Smith,106,112,148,6,2,94.64,2955
Australia,4,Cameron White,c Sammy b Miller,63,78,92,2,1,80.76,2955
Australia,5,Adam Voges,c Miller b Rampaul,16,10,15,1,1,160.00,2955
Australia,6,Michael Hussey,b Pollard,23,17,27,1,1,135.29,2955
Australia,7,James Hopes,c Smith b Sammy,42,21,32,6,0,200.00,2955
Australia,8,Mitchell Johnson,not out,7,4,9,1,0,175.00,2955
Australia,9,Ryan Harris,not out,0,0,1,0,0,-,2955
West Indies,1,Chris Gayle (c),c †Paine b Bollinger,34,21,27,6,0,161.90,2955
West Indies,2,Travis Dowlin,c †Paine b Harris,8,16,24,1,0,50.00,2955
West Indies,3,Lendl Simmons,c Hauritz b Hopes,1,11,20,0,0,9.09,2955
West Indies,4,Narsingh Deonarine,c Harris b Hauritz,53,69,82,5,0,76.81,2955
West Indies,5,Wavell Hinds,run out (Hopes),20,36,44,2,0,55.55,2955
West Indies,6,Denesh Ramdin †,b Bollinger,15,22,35,1,0,68.18,2955
West Indies,7,Kieron Pollard,c Hussey b Johnson,62,55,88,4,2,112.72,2955
West Indies,8,Dwayne Smith,not out,59,63,85,3,3,93.65,2955
West Indies,9,Daren Sammy,b Harris,0,4,7,0,0,0.00,2955
West Indies,10,Nikita Miller,not out,5,3,4,1,0,166.66,2955
Netherlands,1,Alexei Kervezee,c CO Obuya b Otieno,11,26,-,1,0,42.30,2956
Netherlands,2,Eric Szwarczynski,c †Ouma b Otieno,18,19,-,1,0,94.73,2956
Netherlands,3,Bas Zuiderent,run out (Kamande),21,46,-,2,0,45.65,2956
Netherlands,4,Ryan ten Doeschate,not out,109,121,-,10,4,90.08,2956
